id,Route_name,Route_link,Bus_name,Bus_type,departing_time,Duration,Reaching_time,Star_rating
1,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),0 days 10:25:00,07h 30m,0 days 17:55:00,4.7
2,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),0 days 11:20:00,07h 30m,0 days 18:50:00,4.7
3,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdYolo Bus,Bharat Benz A/C Sleeper (2+1),0 days 19:40:00,06h 49m,0 days 02:29:00,4.6
4,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),0 days 23:05:00,07h 10m,0 days 06:15:00,4.6
5,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),0 days 22:10:00,07h 30m,0 days 05:40:00,4.6
6,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),0 days 12:50:00,07h 10m,0 days 20:00:00,4.6
7,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdIntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),0 days 23:50:00,05h 45m,0 days 05:35:00,4.2
8,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),0 days 04:35:00,06h 35m,0 days 11:10:00,4.6
9,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),0 days 22:30:00,07h 30m,0 days 06:00:00,4.5
10,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),0 days 23:15:00,07h 15m,0 days 06:30:00,4.6
11,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),0 days 23:35:00,07h 30m,0 days 07:05:00,4.6
12,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),0 days 23:30:00,07h 15m,0 days 06:45:00,4.6
13,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),0 days 06:00:00,06h 20m,0 days 12:20:00,4.5
14,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),0 days 23:05:00,06h 15m,0 days 05:20:00,4.4
15,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),0 days 23:05:00,06h 55m,0 days 06:00:00,4.4
16,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,A/C Sleeper (2+1),0 days 23:35:00,05h 40m,0 days 05:15:00,4.5
17,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Svkdt travels,A/C Sleeper (2+1),0 days 23:35:00,06h 15m,0 days 05:50:00,4.4
18,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),0 days 12:10:00,07h 30m,0 days 19:40:00,4.5
19,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),0 days 16:00:00,07h 00m,0 days 23:00:00,4.4
20,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Yolo Bus,A/C Sleeper (2+1),0 days 23:26:00,06h 38m,0 days 06:04:00,4.6
21,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),0 days 23:25:00,06h 40m,0 days 06:05:00,4.4
22,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),0 days 23:59:00,06h 31m,0 days 06:30:00,4.4
23,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),0 days 05:00:00,06h 05m,0 days 11:05:00,4.4
24,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),0 days 22:35:00,06h 40m,0 days 05:15:00,4.4
25,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Zingbus Plus,A/C Seater / Sleeper (2+1),0 days 22:55:00,06h 35m,0 days 05:30:00,4.6
26,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),0 days 23:00:00,07h 00m,0 days 06:00:00,4.3
27,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),0 days 23:12:00,05h 41m,0 days 04:53:00,4.4
28,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),0 days 06:55:00,05h 49m,0 days 12:44:00,4.8
29,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,A/C Seater (2+2),0 days 10:00:00,06h 25m,0 days 16:25:00,4.3
30,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),0 days 23:45:00,06h 20m,0 days 06:05:00,4.3
31,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),0 days 23:50:00,06h 40m,0 days 06:30:00,4.3
32,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Yolo Bus,A/C Seater / Sleeper (2+1),0 days 22:46:00,06h 38m,0 days 05:24:00,4.3
33,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),0 days 00:15:00,06h 10m,0 days 06:25:00,4.3
34,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),0 days 10:30:00,06h 35m,0 days 17:05:00,4.3
35,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Zingbus Plus,A/C Seater / Sleeper (2+1),0 days 23:30:00,06h 35m,0 days 06:05:00,4.2
36,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),0 days 22:30:00,07h 05m,0 days 05:35:00,4.2
37,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),0 days 16:10:00,05h 40m,0 days 21:50:00,4.7
38,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),0 days 13:30:00,06h 40m,0 days 20:10:00,4.2
39,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),0 days 22:00:00,07h 10m,0 days 05:10:00,4.2
40,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Durga Malleswari Travels,A/C Sleeper (2+1),0 days 23:10:00,06h 15m,0 days 05:25:00,4.3
